number,author,data,commit-info,father_version,src_modify_file_num,src_hunk_num,src_add_lines_num,src_delete_lines_num,test_modify_file_num,test_hunk_num,test_add_lines_num,test_delete_lines_num,common_modify_file_num,common_hunk_num,common_add_lines_num,common_delete_lines_num,test_class_add_num,test_class_sub_num,test_class_modify_num,test_method_add_num,test_method_sub_num,test_method_modify_num,src_class_add_num,src_class_sub_num,src_class_modify_num,src_method_add_num,src_method_sub_num,src_method_modify_num
9dc15ec,Maurizio Cucchiara,2011-10-23 23:54:49 +0000,Fixed incompatible types issue,722d2df2057bb1e362a4458efb914aa590c02c60,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
118bf06,Christian Grobmeier,2011-10-17 06:08:58 +0000,OGNL-11: fixed checkstyle errors,b15468cda8838c896a05531e1477b4fe3f89c535,18,71,249,173,2,5,17,5,0,0,0,0,0,0,2,0,0,1,0,0,18,0,0,45
c5e395d,Christian Grobmeier,2011-10-16 16:08:24 +0000,OGNL-11: fixed checkstyle errors,1cf197e06c026ae481952e761d48b21870d87186,6,39,235,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,20
1cf197e,Simone Tripodi,2011-10-16 11:03:46 +0000,fixed test javadoc warnings,636a14478c944b6b85a840ff3b59ab1d894c4637,0,0,0,0,3,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
636a144,Christian Grobmeier,2011-10-16 06:15:40 +0000,OGNL-11: fixed checkstyle errors,0402cf8d5c9cbdea1ad9a69fb2bd98e856021fd1,43,170,279,189,1,3,4,3,0,0,0,0,0,0,1,0,0,1,0,0,43,0,0,61
0402cf8,Christian Grobmeier,2011-10-15 09:41:14 +0000,OGNL-11: more fixed checkstyle errors,f8fd8880e2882b763d52f951a05edb5cc53d9fce,1,9,42,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
f8fd888,Christian Grobmeier,2011-10-15 08:56:58 +0000,OGNL-11: fixed checkstyle errors,a6e579f0a221e84c5f98cef2fc9d56f5967b842f,1,8,33,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
4625d2e,Christian Grobmeier,2011-10-14 07:44:41 +0000,"OGNL-21: fixed unused imports, some dead code, unused variables",ff853a278abddd6965c71dbd3a442cd7e0091cd6,0,0,0,0,14,18,16,33,0,0,0,0,0,0,14,0,0,4,0,0,0,0,0,0
ff853a2,Christian Grobmeier,2011-10-14 07:41:02 +0000,OGNL-21: fixed some dead code,cd44c17c55ad0c5d81df5f3fd793a8e549a39250,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
fb6b686,Christian Grobmeier,2011-10-14 07:40:00 +0000,OGNL-21: fixed dead code,510fe91de8a0758ad923993969135ac556de25cc,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
f53c545,Simone Tripodi,2011-09-19 15:30:11 +0000,use compiler properties instead of fixed values,0f187b65f3735863110fd3f6f04de442e4b63f40,0,0,0,0,0,0,0,0,1,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0
f35feb9,Maurizio Cucchiara,2011-09-06 17:14:39 +0000,Fix the project name,afb77cfc0a473aa044ef324b75ebe917b9a1f131,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
bf9a6ab,Henri Yandell,2011-08-31 05:18:59 +0000,Fixing location after mismoving,f929e84073a9dabf80c30d9b704c3d1e84b44032,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71eae50,Olivier Lamy,2011-08-01 22:46:19 +0000,fix ci url,a6339065b8f653e8af8b3775c8b1f465dd6530f2,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
f0fa314,Simone Tripodi,2011-05-23 19:54:33 +0000,fixed internal getPermission(Method) cache raw types,c1a7d6c409a65b55b9c68dd9b8cb3a1b333cf1db,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
c1a7d6c,Simone Tripodi,2011-05-23 19:52:51 +0000,fixed internal getDeclaredMethod() cache raw type no needs to mark nulls with null list if returned value is null,caa516688df5873ba9fba47786247a39cdcfa552,1,4,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
caa5166,Simone Tripodi,2011-05-23 19:47:37 +0000,"fixed getField(s) raw type, fields cache is a map of string,field",a5236869f28d84da994c7e2e8276fb2a45e7a60b,1,3,13,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
a523686,Simone Tripodi,2011-05-23 07:48:54 +0000,fixed raw types in findObjectIndexedPropertyDescriptors() method,09f4cf1fc13b49b74ed85176397471ec26fa127f,1,3,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
71b0264,Simone Tripodi,2011-05-23 07:28:18 +0000,fixed Class raw type warnings,04788cdc2c9165b1bf65b24ac68423e50cb79bcc,1,26,38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,22
04788cd,Simone Tripodi,2011-05-22 22:45:16 +0000,fixed Method list raw type removed unneeded cast,5d577b5a88f462d9e9a320712675a113a2a9a115,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
61b1534,Simone Tripodi,2011-05-22 19:32:30 +0000,fixed arrays reference raw type,7091eb90539b5b200a2669554280536734854d1f,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
84c7cd8,Simone Tripodi,2011-05-22 19:30:09 +0000,fixed pools raw type,c48593a7b8802c9bc52e8069342f3839e60ea8d1,1,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
c48593a,Simone Tripodi,2011-05-22 19:28:16 +0000,fixed _methodPermCache raw type,fadbd6c0804768162c9160b7b116b8a89103a2c1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
fadbd6c,Simone Tripodi,2011-05-22 19:27:02 +0000,fixed _methodAccessCache raw type,09fca26818977f19d32bf7f898363207d42f1eac,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
900a67d,Simone Tripodi,2011-05-22 19:01:29 +0000,"added generics, fixed Map methods implementation",5d3553641199a3171a826c1c3182ad223e4e29f9,1,19,35,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13
ec0f0c6,Simone Tripodi,2011-05-22 17:50:21 +0000,fixed Class raw type,cd8046390ebe7f5595d3c3a86729b5a922140fc5,1,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
cd80463,Simone Tripodi,2011-05-22 17:06:00 +0000,fixed List<Method> raw type,3f57e82de08829004622953ea7c9eab4b0b8935d,2,6,17,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3
3f57e82,Simone Tripodi,2011-05-22 16:55:40 +0000,"fixed ClassCache behavior, type doesn't drive the cached object",87a7f36df5d1387d5f788888d5d80ebc769f90ea,3,7,24,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6
87a7f36,Simone Tripodi,2011-05-22 16:36:59 +0000,fixed Class raw type,43abb2d1f625c28e6950075b42d02ffde5562aa8,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
