"6e276e4","Maurizio Cucchiara","2011-11-03 09:07:53 +0000","OGNL-37 - Remove unnecessary int boxing and redundant code."
"84f53f5","Maurizio Cucchiara","2011-11-03 08:57:06 +0000","OGNL-37 - Modified equals() implementation to take account of super class fields."
"7dfb8a9","Maurizio Cucchiara","2011-11-03 08:49:08 +0000","OGNL-37 - Use Map.entrySet instead of Map.keySet for better performance."
"578a5f2","Maurizio Cucchiara","2011-11-01 08:56:50 +0000","Remove duplicated issue id."
"2ae558e","Maurizio Cucchiara","2011-11-01 08:56:20 +0000","OGNL-36 - Link "Benchmarks" on left hand navigation is broken (contributed by Adrian Cumiskey)."
"842dbcc","Maurizio Cucchiara","2011-10-29 18:12:54 +0000","OGNL-11: fixed checkstyle errors (Fixed svn id position)"
"4ef5a72","Maurizio Cucchiara","2011-10-29 18:11:37 +0000","OGNL-11: fixed checkstyle errors (Fixed licence header position)"
"aa827a7","Maurizio Cucchiara","2011-10-29 18:06:54 +0000","OGNL-11: fixed checkstyle errors (Fixed licence header position)"
"98d382c","Maurizio Cucchiara","2011-10-29 18:04:57 +0000","OGNL-11: fixed checkstyle errors (Line is longer than 120 characters)"
"3c7e1af","Maurizio Cucchiara","2011-10-29 18:04:20 +0000","OGNL-11: fixed checkstyle errors (Fixed licence header position)"
"33da597","Maurizio Cucchiara","2011-10-29 18:02:14 +0000","OGNL-11: fixed checkstyle errors (Fixed licence header position)"
"69c11c7","Maurizio Cucchiara","2011-10-29 18:00:27 +0000","OGNL-11: fixed checkstyle errors (Fixed licence header position)"
"120b167","Maurizio Cucchiara","2011-10-29 17:54:24 +0000","OGNL-11: fixed checkstyle errors (Fixed licence header position, also added missing spaces)"
"5ed97a6","Maurizio Cucchiara","2011-10-29 17:52:20 +0000","OGNL-11: fixed checkstyle errors (Fixed licence header position)"
"c3c74d4","Maurizio Cucchiara","2011-10-29 17:47:02 +0000","OGNL-11: fixed checkstyle errors (renamed local variables according with the naming convention)"
"bc47ab2","Maurizio Cucchiara","2011-10-29 17:44:52 +0000","OGNL-11: fixed checkstyle errors (removed inner assignment)"
"80d3c2b","Maurizio Cucchiara","2011-10-29 17:42:47 +0000","OGNL-11: fixed checkstyle errors (Fixed licence header position)"
"3074d3a","Maurizio Cucchiara","2011-10-29 17:35:30 +0000","OGNL-11: fixed checkstyle errors (Line does not match expected licence header)"
"45e3ead","Maurizio Cucchiara","2011-10-29 17:33:19 +0000","OGNL-11: fixed checkstyle errors (Line does not match expected header line of '^package)"
"91b1266","Maurizio Cucchiara","2011-10-29 11:21:20 +0000","OGNL-11: fixed checkstyle errors"
"801d5c0","Maurizio Cucchiara","2011-10-29 11:16:20 +0000","OGNL-11: fixed checkstyle errors"
"74c0386","Maurizio Cucchiara","2011-10-29 11:10:16 +0000","OGNL-11: fixed checkstyle errors"
"f5fa03b","Maurizio Cucchiara","2011-10-29 11:04:16 +0000","OGNL-11: fixed checkstyle errors"
"1a54656","Maurizio Cucchiara","2011-10-29 11:01:56 +0000","OGNL-11: fixed checkstyle errors"
"3243582","Maurizio Cucchiara","2011-10-29 10:51:32 +0000","OGNL-11: fixed checkstyle errors"
"165a923","Maurizio Cucchiara","2011-10-29 08:04:01 +0000","Added support scp for maven3, waiting it will become part of parent (see http://goo.gl/zjWyM)"
"85382a4","Maurizio Cucchiara","2011-10-29 07:43:12 +0000","fixed javadocs warning"
"47c4912","Maurizio Cucchiara","2011-10-29 07:42:25 +0000","Added OGNL-17 in the issues list"
"be14d84","Maurizio Cucchiara","2011-10-29 07:27:54 +0000","OGNL-17 - Links "Download" and "Release Notes" do not work"
"014fe11","Maurizio Cucchiara","2011-10-29 05:59:04 +0000","Added svn properties"
"69c9cb6","Maurizio Cucchiara","2011-10-29 05:55:42 +0000","OGNL-33 - Improvements to JJTOgnlParserState (contributed by Adrian Cumiskey)"
"8506f10","Maurizio Cucchiara","2011-10-29 05:48:02 +0000","Added OGNL-32 in the issue list"
"03b9d30","Maurizio Cucchiara","2011-10-29 05:44:09 +0000","OGNL-32 - CPD fix to ASTProperty (contributed by Adrian Cumiskey)"
"e389358","Maurizio Cucchiara","2011-10-28 17:11:37 +0000","replaced for loops with foreach version. Also renamed unused var"
"2dfcbce","Maurizio Cucchiara","2011-10-28 16:55:05 +0000","Reformatted code"
"595ace7","Maurizio Cucchiara","2011-10-28 16:52:45 +0000","Reformatted code"
"7439a1d","Maurizio Cucchiara","2011-10-28 16:52:11 +0000","Reformatted code"
"29e4531","Maurizio Cucchiara","2011-10-28 16:51:29 +0000","OGNL-31 - Added compiler performance test"
"e7ffb77","Maurizio Cucchiara","2011-10-28 16:48:41 +0000","Added OGNL-31 to the change list"
"b76e694","Maurizio Cucchiara","2011-10-28 16:42:27 +0000","OGNL-31 - Some CPD fixes around ASTMethod and ASTStaticMethod (contributed by Adrian Cumiskey)"
"2804284","Maurizio Cucchiara","2011-10-28 16:22:31 +0000","Removed jub.customkey declaration"
"3cd8a7c","Maurizio Cucchiara","2011-10-27 08:48:55 +0000","PerformanceOldOgnlTest was extending the wrong base class"
"b11f01f","Maurizio Cucchiara","2011-10-27 06:29:22 +0000","Minor changes"
"7dec9c3","Maurizio Cucchiara","2011-10-27 06:20:48 +0000","Removed explicit object extension"
"ed3cd30","Maurizio Cucchiara","2011-10-27 05:59:21 +0000","Removed @Override annotations"
"185067e","Maurizio Cucchiara","2011-10-27 05:55:59 +0000","Removed previously borrowed classes"
"80ff0a6","Maurizio Cucchiara","2011-10-26 17:30:57 +0000","Removed snapshot dependency, also added jdk15 classifier"
"2092e79","Maurizio Cucchiara","2011-10-26 17:18:41 +0000","Removed spaces within empty method call parentheses, adjust parentheses position, added new line at the end of methods"
"5f8172c","Maurizio Cucchiara","2011-10-26 17:12:08 +0000","Removed spaces within empty method call parentheses"
"0c8f714","Maurizio Cucchiara","2011-10-26 15:52:58 +0000","Small  simplification"
